기업명,대표자명,주소,스마트공장 전문분야,스마트공장 전문업종,공급기업 전문업종
주식회사엔스퀘어,탁승민,경상남도 진주시 진주대로 501 (가좌동),제조빅데이터/제조AI,CPS/디지털트윈,"기타 기계 및 장비 제조업, 기타 제품 제조업"
비컴유니버스(주),황영주,서울특별시 강남구 도곡로2길 9 (도곡동),MES/POP/APS,제조빅데이터/제조AI,"금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
에이원,신동렬,대구광역시 수성구 알파시티1로42길 11 (대흥동),MES/POP/APS,"식별시스템/머신비전, ERP, SCM/WMS","식료품 제조업, 음료 제조업, 섬유제품 제조업; 의복 제외, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)에스씨티,서창성,부산광역시 해운대구 센텀북대로 60 (재송동),MES/POP/APS,"ERP, SCM/WMS","고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업"
지메이커 주식회사,김한상,서울특별시 금천구 벚꽃로 254 (가산동),제조빅데이터/제조AI,"ERP, PLM/PDM, SCM/WMS, MES/POP/APS, FEMS, QMS/CMMS","인쇄 및 기록매체 복제업, 기타 제품 제조업"
주식회사 알엔티,김영진,경상남도 김해시 한림면 김해대로916번길 104-22,산업용로봇,제어시스템/컨트롤러,"전기장비 제조업, 기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
(주)트로닉스,박병덕,광주광역시 북구 첨단벤처로 124 (월출동),통신네트워크장비,미등록,전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
인그래디언트 주식회사,이준호,서울특별시 강남구 강남대로 364 (역삼동),제조빅데이터/제조AI,식별시스템/머신비전,"1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업"
암스트롱 로보틱스,라두련,경기도 화성시 향남읍 동오3길 40,산업용로봇,"스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터","목재 및 나무제품 제조업; 가구 제외, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)케이메카트로닉스,김미례,경기도 화성시 정남면 문학로 22-17,스마트장비,산업용로봇,"식료품 제조업, 의료용 물질 및 의약품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업"
(주)신도기연,박웅기,경기도 시흥시 마유로238번길 21 (정왕동),스마트장비,"산업용로봇, 제어시스템/컨트롤러","전기장비 제조업, 기타 기계 및 장비 제조업, 기타 운송장비 제조업, 산업용 기계 및 장비 수리업"
파멕스,박용진,경상남도 양산시 웅비공단길 118 (용당동) 주식회사 파멕스,스마트장비,제어시스템/컨트롤러,전기장비 제조업
주식회사네오닉스,최종만,경기도 시흥시 공단1대로 13 (정왕동),산업용로봇,스마트장비,"기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
(주)청풍산기,이배규,대구광역시 달서구 성서로5길 43 (대천동),산업용로봇,미등록,1차 금속 제조업
경은테크,강경모,경상남도 창원시 의창구 차룡로 41 (팔용동),산업용로봇,미등록,기타 기계 및 장비 제조업
엠에스 주식회사,김상정,대구광역시 달서구 달서대로91길 35 (호림동),제어시스템/컨트롤러,"산업용로봇, 스마트장비","전기장비 제조업, 기타 기계 및 장비 제조업"
위드테크,장영석,대구광역시 달서구 성서공단로39길27 1층 102호,산업용로봇,미등록,기타 기계 및 장비 제조업
(주)다솔이엔지,홍신의,충청북도 청주시 흥덕구 강촌로194번길 15 (서촌동),스마트장비,미등록,"전기장비 제조업, 기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
모토텍(주),김태우,경상남도 김해시 진례면 진례로74번길 49,산업용로봇,제어시스템/컨트롤러,"고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 웨코,박하규,충청남도 아산시 음봉면 월산로 128-113,산업용로봇,미등록,기타 기계 및 장비 제조업
(주)정인테크,김영환,경기도 안양시 동안구 엘에스로 92 (호계동),산업용로봇,미등록,"기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)거화엔지니어링,이귀섭,경상남도 김해시 상동면 동북로473번길 126-128,스마트장비,"산업용로봇, 식별시스템/머신비전",의료용 물질 및 의약품 제조업
웰탑테크노스,박창림,충청남도 천안시 서북구 성거읍 봉주로 191,산업용로봇,미등록,기타 기계 및 장비 제조업
에이스타테크,이은오,서울특별시 구로구 경인로53길 90 (구로동),산업용로봇,제어시스템/컨트롤러,"기타 기계 및 장비 제조업, 기타 제품 제조업"
(주)인스턴,국연호,대구광역시 달서구 성서공단로22길 12 (월암동),산업용로봇,미등록,기타 기계 및 장비 제조업
오토파워,김경옥,경상남도 창원시 마산회원구 봉암공단10길 55 (봉암동),산업용로봇,미등록,기타 기계 및 장비 제조업
주식회사 픽시스로보틱스,이철희,경기도 수원시 영통구 반달로7번길 30 (영통동),산업용로봇,미등록,기타 기계 및 장비 제조업
주식회사 에스케이이,정태열,경기도 광명시 금오로805번길 1-1 (옥길동),산업용로봇,스마트장비,"기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)하이네트서비스,박 은숙,서울특별시 강남구 강남대로42길 11 (도곡동),MES/POP/APS,"식별시스템/머신비전, ERP","식료품 제조업, 섬유제품 제조업; 의복 제외, 가죽. 가방 및 신발 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
주식회사 이에스티,김성일,경상남도 창원시 의창구 창원대로363번길 11(팔용동) 표준3공장 6동1호,산업용로봇,"스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, ERP, MES/POP/APS, 클라우드컴퓨팅, 제조빅데이터/제조AI","기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
애그리펑션,박정호,"서울특별시 금천구 금하로 793 (시흥동, 벽산아파트)",산업용로봇,제어시스템/컨트롤러,기타 기계 및 장비 제조업
씨케이홀딩스,최성호,경기도 화성시 향남읍 발안로 499-41,산업용로봇,"제어시스템/컨트롤러, MES/POP/APS","식료품 제조업, 음료 제조업, 섬유제품 제조업; 의복 제외, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 로보터블,최인현,경상남도 창원시 성산구 성산패총로38번길 10 (성산동),산업용로봇,"제어시스템/컨트롤러, MES/POP/APS, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업"
평화기술주식회사,김성태,경상남도 창원시 성산구 성산패총로24번길 1 (성산동),산업용로봇,제어시스템/컨트롤러,"기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
대성기술텍(주) ,우정애,부산광역시 강서구 공항로 459-1 (대저2동),산업용로봇,미등록,기타 제품 제조업
(주)휴먼텍,황교중,인천광역시 남동구 남동대로 298 (논현동),산업용로봇,제어시스템/컨트롤러,"고무 및 플라스틱제품 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)프랜즈시스템,송정호,인천광역시 부평구 백범로577번길 20 (십정동),산업용로봇,"식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터","기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
(주)신진테크해양,김범준,경상남도 통영시 광도면 용호로 124,식별시스템/머신비전,"산업용로봇, 제어시스템/컨트롤러, MES/POP/APS, 제조빅데이터/제조AI","기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
하이젠알앤엠 주식회사,김재학,"경상남도 창원시 성산구 공단로473번길 57 (성산동, 하이젠모터(주))",산업용로봇,"제어시스템/컨트롤러, ERP","섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 산업용 기계 및 장비 수리업"
(주)제이시스템,정재오,"경기도 안양시 동안구 엘에스로116번길 25-32 (호계동, 안양SKV1 Center) 510호",제조빅데이터/제조AI,"산업용로봇, 식별시스템/머신비전, QMS/CMMS","식료품 제조업, 음료 제조업, 담배 제조업, 펄프. 종이 및 종이제품 제조업, 전기장비 제조업"
주식회사 제이엘티,이재광,경기도 안산시 단원구 산단로 325 (신길동) 리드스마트스퀘어 422호,제조빅데이터/제조AI,"산업용로봇, 스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, SCM/WMS, MES/POP/APS","식료품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 위트소프트,이정오,울산광역시 남구 번영로124번길 21(달동) 2층 220호,ERP,미등록,"전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 운송장비 제조업"
주식회사 대도,심효섭,경기도 시흥시 공단1대로260번안길 27 (정왕동),산업용로봇,"스마트장비, 식별시스템/머신비전","식료품 제조업, 음료 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 운송장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
쉐카이나 주식회사,김흥석,울산광역시 울주군 온산읍 처용산업1길 8,산업용로봇,"스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, 통신네트워크장비","식료품 제조업, 음료 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 제팩,이준제,인천광역시 부평구 백범로603번길 9 (십정동),산업용로봇,"제어시스템/컨트롤러, 센서/액추에이터","식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
부경테크,서대용,대구광역시 북구 팔달북로2길 27 (노원동3가),산업용로봇,제어시스템/컨트롤러,기타 기계 및 장비 제조업
(주)한테크,강지정,대전광역시 대덕구 신일서로18번길 2 (신일동),산업용로봇,미등록,기타 기계 및 장비 제조업
신명로보텍(주),박준수,광주광역시 광산구 하남산단8번로 133 (안청동),산업용로봇,"스마트장비, 제어시스템/컨트롤러, 센서/액추에이터","금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 트라이포드랩,이정윤,경기도 성남시 분당구 판교로289번길 20 (삼평동),SCM/WMS,클라우드컴퓨팅,"식료품 제조업, 음료 제조업, 의료용 물질 및 의약품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
